PN,PNnoun,CorpName
18-1570-13,"TRANSMITTER, FLAP POSITION ",HONEYWELL
18-1738-10,"SENSOR, FLAP POSITION",HONEYWELL
18-1958-14,"TRANSMITTER, FLAP POSITION",HONEYWELL
18-1969-13,"TRANSMITTER, POSITION",HONEYWELL
18-1969-15,"TRANSMITTER, POSITION",HONEYWELL
18-2141-2,"TRANSMITTER, PRESSURE HYD",HONEYWELL
18-3001-2,"ACCELEROMETER, THREE AXIS",HONEYWELL
30-2842-1,"LIGHT, POSITION/ANTICOLLISION WINGTIP",HONEYWELL.
30-2968-2,"LIGHT, INT.TAILCONE POSIT/ ANTICOLLISION",HONEYWELL
3000-46-22,"SWITCH, THERMOSTATIC",HONEYWELL
30136-0108,"TRANSMITTER, WATER QTY",GOODRICH
305593-8,"SWITCH, SPEED ASSEMBLY",HONEYWELL.
3870075-101,"VALVE, PRESSURE",PARKER
3876059-2,"SWITCH, OIL LEVEL",HONEYWELL
3876133-1,"SENSOR, PRESSURE",HONEYWELL
3876259-5,"SWITCH, THREE SPEED",HONEYWELL
020-016-061,"TRANSMITTER, FUEL QTY",PARKER
020-016-113,"TRANSMITTER, FUEL QTY",PARKER
30-100-07,"CLOCK, ELECTRONIC CHRONOMETER",HONEYWELL.
30-1133-1,"LIGHT, NAVIGATION WING ",HONEYWELL.
30-1521-3,"LIGHT, REAR-POSITION NAV",HONEYWELL
30-1564-7,"FLOODLIGHT, WING SLIDE",HONEYWELL
30-1742-10,"LIGHT, EMERGENCY EGRESS",HONEYWELL
30-1768-1,"LIGHT, AFT GROUND",HONEYWELL.
30-1768-7,"LIGHT, AFT GROUND",HONEYWELL.
30-1770-4,"LIGHT, FORWARD GROUND ILL./SLIDE",HONEYWELL.
30-1867-3,"FLOODLIGHT, WING SCANNING",HONEYWELL
30-2041-1,"LIGHT, FORWARD DOOR SLIDE GROUND ILLUMINATION",HONEYWELL
30-2675-1,"LIGHT, ANTICOLLISION FLASHTUBE NAV.",HONEYWELL
30-2675-1,"LIGHT, ANTICOLLISION FLASHTUBE NAV.",HONEYWELL
10-0015-1,"LIGHT, WHEEL WELL DOME",HONEYWELL
10-0031-1B,"LIGHT, THRESHOLD",HONEYWELL
10-0055-7,"LIGHT, EXIT EMERGENCY",HONEYWELL
10-0067-7,"LIGHT, EMERGENCY EXIT",HONEYWELL
10-0067-9,"LIGHT, EMERGENCY EXIT",HONEYWELL
10-0340-29,"SIGN, INTERIOR ILLUMINATED PASSENGER",HONEYWELL
10-1004-14,"SIGN, INTERIOR ILLUM. PASSENGER INFO.",HONEYWELL.
10-1005-126,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-153,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-155,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-160,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-171,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-183,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-204,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
18-1570-15,"TRANSMITTER, FLAP POSITION ",HONEYWELL
18-1738-12,"SENSOR, FLAP POSITION",HONEYWELL
18-1738-8,"TRANSMITTER, FLAP POSITION ",HONEYWELL
30-2965-3,"LIGHT, WINGTIP POSITION",HONEYWELL
3000-46-19,"SWITCH, THERMOSTATIC",HONEYWELL
3000-46-24,"SWITCH, THERMOSTATIC",HONEYWELL
30244-0201,"TRANSMITTER, FUEL QTY.",GOODRICH
305593-4,"SWITCH, SPEED ASSEMBLY",HONEYWELL.
3876023-2,"SWITCH, TEMP.",HONEYWELL
3876023-2,"SWITCH, TEMP.",HONEYWELL
3876084-2,"SENSOR, PRESSURE",HONEYWELL
3876084-2,"SENSOR, PRESSURE",HONEYWELL
3876123-3,TRANSDUCER,HONEYWELL
3876219-2,"TRANSDUCER, DIFFERENTIAL",HONEYWELL
3876225-1,"SENSOR, PRESSURE",HONEYWELL
3876227-2,"TRANSDUCER, DIFF. PRESSURE",HONEYWELL
3876259-1,"SWITCH, THREE SPEED",HONEYWELL
3876298-3,"SENSOR, OIL LEVEL",HONEYWELL
3880164-1,FITTING,HONEYWELL
3880271-1,"INDICATOR, PRESSURE",HONEYWELL
3880271-1,"INDICATOR, PRESSURE",HONEYWELL
692523-8,THERMOCOUPLE,HONEYWELL
692545-3,"VALVE, SOLENOID SHUTOFF",HONEYWELL
692545-9,"VALVE, SOLENOID SHUTOFF",HONEYWELL
A8985-,FLOODLIGHT,HONEYWELL
A8985-7,FLOODLIGHT,HONEYWELL
A8985-9,FLOODLIGHT,HONEYWELL
10051-0000-01,"INDICATOR, OIL QTY",GOODRICH
10065-2000-0303,PROCESSOR,GOODRICH
20-212-06,"INDICATOR, FUEL QUANTITY",GOODRICH
200-007-005-1,"INDICATOR, HYDRAULIC FLUID QTY",PARKER
200-007-007,"INDICATOR, HYDRAULIC FLUID QTY",PARKER
20079-0000-0104,"TRANSMITTER, FUEL QTY",GOODRICH
20079-0000-0120,"TRANSMITTER, FUEL QTY",GOODRICH
2588369-901,"INDICATOR, RADIO DIRECTIONAL",HONEYWELL
2588809-901,"PANEL, CONTROL",HONEYWELL
2588838,"SENSOR, POSITION",HONEYWELL
2589210-902,"RACK, COMPASS",HONEYWELL
2590624-925,"PANEL, MODE SELECT",HONEYWELL
2593564-914,"CONTROLLER, ALTITUDE SELECT",HONEYWELL
2594661-801,"INDICATOR, RADIO MAGNETIC",HONEYWELL
2616891,"SENSOR, TEMPERATURE",HONEYWELL
3399046-2,VALVE,HONEYWELL
34265-13,"LIGHT, COCKPIT",HONEYWELL.
34265-15,"LIGHT, COCKPIT",HONEYWELL.
34403-30A22-1,"TRANSMITTER, OIL/FUEL PRESSURE",HONEYWELL
3505446-5,"PUMP, AIR TURBINE DRIVEN HYDRAULIC",HONEYWELL
3540000-3,"SENSOR, DUAL TEMP.",SIMMONDS
4052190-903,"PANEL, TCAS",HONEYWELL
4056512-927,"PANEL, MODE SELECT",HONEYWELL
4063370-2,"DENSITOMETER, ASSY",HONEYWELL
4067487-901,"TRANSDUCER, PRESSURE",HONEYWELL
4082260-937,"PANEL, MODE CONTROL",HONEYWELL
548620-6,"SENSOR, TEMPERATURE",HONEYWELL
10-0015-15,"LIGHT, WHEEL WELL DOME",HONEYWELL
10-0015-7,"LIGHT, WHEEL WELL DOME",HONEYWELL
10-0055-17,"LIGHT, EXIT EMERGENCY",HONEYWELL
10-0055-23,"LIGHT, EXIT EMERGENCY",HONEYWELL
10-0984-1,"SIGN, INT EXIT",HONEYWELL
10-1004-8,"SIGN, INTERIOR ILLUM. PASSENGER INFO.",HONEYWELL.
10-1005-102,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-120,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-142,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-143,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-189,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
18-1597,"INDICATOR, DUCT PRESSURE",HONEYWELL
18-1958-13,"TRANSMITTER, FLAP POSITION",HONEYWELL
30-2715-1,"FLOODLIGHT, TAXI CAMERA",HONEYWELL
30-2848-3,"LIGHT, INTEGRATED WINGT",HONEYWELL.
30-2849-1,"LIGHT, ANTICOLLISION WINGLET STROBE",HONEYWELL.
30-2906-1,"LIGHT, ANTICOLLISION FUSELAGE STROBE",HONEYWELL
30-3083-2,"LIGHT, WINGTIP NAV.",HONEYWELL
3000-46-2,"SWITCH, THERMOSTATIC",HONEYWELL
3000-46-32,"SWITCH, THERMOSTATIC",HONEYWELL
30244-0101,"TRANSMITTER, FUEL QTY",GOODRICH
304313-1,"CONTROL, ELECTRONIC TEMPERATURE",HONEYWELL
3800454-1,"SWITCH, LOW OIL QTY",HONEYWELL
3800610,"EXCITER, IGNITION ACCESSORY",HONEYWELL
3876024-6,"SWITCH, LOW OIL PRESS.",HONEYWELL
3876096-1,SENSOR,HONEYWELL
3876135-1,"SENSOR, COMP. LOAD",HONEYWELL
3876145-2,HEATER OIL,HONEYWELL
3876185-2,VALVE,HONEYWELL
3876211-3,"SENSOR, TEMP.",HONEYWELL
3876379-1,"SWITCH, OIL",HONEYWELL
641127-1,"SWITCH, PACK OVERHEAT",HONEYWELL
6428103-4,"SWITCH, PRESSURE",HONEYWELL
692525-21,"SWITCH, OIL PRESSURE",HONEYWELL
692525-8,"SWITCH, OIL PRESSURE",HONEYWELL
019-012-002,"TRANSMITTER, HYDRAULIC QTY",PARKER
019-012-003,"TRANSMITTER, HYD. QTY",PARKER
020-016-008,"TRANSMITTER, FUEL QTY",PARKER
020-016-024,"TRANSMITTER, FUEL QTY",PARKER
020-016-085,"TRANSMITTER, FUEL QTY",PARKER
020-016-104,"TRANSMITTER, FUEL QTY",PARKER
020-016-107,"TRANSMITTER, FUEL QTY",PARKER
020-070-007,"UNIT, FUEL QTY TANK",PARKER
020-070-008,"UNIT, FUEL QTY TANK",PARKER
30-1108-3,"LIGHT, STROBE ANTICOLLISION ",HONEYWELL.
30-1133-4,"LIGHT, NAVIGATION WING ",HONEYWELL.
30-1586-11,"LIGHT, STROBE ANTI-COLLISION",HONEYWELL.
30-1691-1,"LIGHT, WING ANTICOLLISION",HONEYWELL
30-1691-3,"LIGHT, WING ANTICOLLISION",HONEYWELL
30-1742-2,"LIGHT, EMERGENCY EGRESS",HONEYWELL
30-1742-3,"LIGHT, EMERGENCY EGRESS",HONEYWELL
30-1883-5,"FLOODLIGHT, WING/NACELLE INSP",HONEYWELL
30-1883-6,"FLOODLIGHT, WING/NACELLE INSPECTION",HONEYWELL
30-1956-2,"FLOODLIGHT, EMER/EXIT",HONEYWELL.
30-2044-6,"LIGHT, ASSY",HONEYWELL
30-2581-3,"FLOODLIGHT, ELECTRIC-TAIL LOGO",HONEYWELL.
30-2660-3,"LIGHT, STROBE ANTICOLLISION",HONEYWELL
30-2683-14,"LIGHT, WING POSITION NAV.",HONEYWELL.
45-0083-2,"LIGHT, RETRACTABLE LANDING",HONEYWELL.
45-0263-1,"LIGHT, RETRACTABLE LANDING",HONEYWELL
45-0263-504,"LIGHT, RETRACTABLE LANDING",HONEYWELL
801227-7,"ASSY, HOUSING",HONEYWELL
15-0133-5,"FLOODLIGHT, CARGO LOADING AREA",HONEYWELL.
15-0143-11,FLOODLIGHT,HONEYWELL
15-0143-31,FLOODLIGHT,HONEYWELL
15-0188-11,"LIGHT, DOME",HONEYWELL.
15-0188-9,"LIGHT, DOME",HONEYWELL.
15-0299-5,"LIGHT, COCKPIT",HONEYWELL
15-0705-7,"LIGHT, DOOR MOUNTED CARGO LOADING",HONEYWELL
15-0726-3,"LIGHT, COCKPIT CHART",HONEYWELL
3200-2,"ACTUATOR, DC",HONEYWELL
320522-11,"VALVE, DIRECTIONAL PILOT SOLENOID",HONEYWELL
320522-4,"VALVE, DIRECTIONAL PILOT SOLENOID",HONEYWELL
4003733-905,"IND., HORIZONTAL SITUATION",HONEYWELL
4026206-909,"CONTROLLER, INST. REMOTE",HONEYWELL
4026206-910,"CONTROLLER, INST. REMOTE",HONEYWELL
4026206-922,"CONTROLLER, INST. REMOTE",HONEYWELL
4026206-977,"CONTROLLER, INST. REMOTE",HONEYWELL
4033T65P03,"SENSOR, TEMP.",GOODRICH
7001182-902,"INDICATOR, ATTITUDE DIRECTOR",HONEYWELL
7001182-907,"INDICATOR, ATTITUDE DIRECTOR",HONEYWELL
7001182-910,"INDICATOR, ATTITUDE DIRECTOR",HONEYWELL
0102TA2AG,"SENSOR, TOTAL TEMP.",GOODRICH
0154DN9,"SENSOR, ENG. INLET TOTAL TEMP.",GOODRICH
0154EW2,PROBE,GOODRICH
020-016-013,"TRANSMITTER, FUEL QTY",PARKER
020-016-023,"TRANSMITTER, FUEL QTY",PARKER
020-016-088,"TRANSMITTER, FUEL QTY",PARKER
020-016-115,"TRANSMITTER, FUEL QTY",PARKER
020-070-004,"UNIT, FUEL QTY TANK",PARKER
1453PG-CP-1-15,"SWITCH, NON-DIFFERENTIAL PRESSURE WARNING",SMITHS
30-0906-5,"LIGHT, HIGH INTENSITY STROBE",HONEYWELL.
30-1108-11,"LIGHT, STROBE ANTICOLLISION ",HONEYWELL.
30-1133-3,"LIGHT, NAVIGATION WING ",HONEYWELL.
30-1133-3M,"LIGHT, NAVIGATION WING ",HONEYWELL.
30-1401-15,"LIGHT, STROBE ANTICOLLISION ",HONEYWELL
30-1526-11,"LIGHT, STROBE ANTICOLLISION",HONEYWELL.
30-1526-11,"LIGHT, STROBE ANTICOLLISION",HONEYWELL.
30-1585-1,"LIGHT, STROBE ANTI-COLLISION",HONEYWELL.
30-1742-6,"LIGHT, EMERGENCY EGRESS",HONEYWELL
30-2042-1,"LIGHT, SLIDE/GROUND ILLUM. CENTER DOOR",HONEYWELL.
30-2044-3,"LIGHT, ASSY",HONEYWELL
30-2392-4,"LIGHT, NAV. ANTICOLLISION WINGTIP",HONEYWELL
30-2683-10,"LIGHT, WING POSITION NAV.",HONEYWELL.
3567402-7001,"TRANSMITTER, OIL/FUEL PRESSURE",HONEYWELL
45-0060-12,"LIGHT, RETRACTABLE LANDING",HONEYWELL.
45-0068-1,"LIGHT, RETRACTABLE AIRCRAFT",HONEYWELL.
45-0083-5,"LIGHT, RETRACTABLE LANDING",HONEYWELL.
450-2-3100-00,"SWITCH, PRESSURE",ELEKTRO
15-0003-7,"FLOODLIGHT, INSTRUMENT",HONEYWELL
15-0007-17,"LIGHT, COCKPIT UTILITY",HONEYWELL.
15-0069-15,SPOTLIGHT,HONEYWELL
15-0069-25,SPOTLIGHT,HONEYWELL
15-0069-3,SPOTLIGHT,HONEYWELL
15-0143-15,FLOODLIGHT,HONEYWELL
15-0143-27,FLOODLIGHT,HONEYWELL
15-0299-1,"LIGHT, COCKPIT",HONEYWELL
15-0726-1,"LIGHT, COCKPIT CHART",HONEYWELL
3202154-1,VALVE,HONEYWELL
320362-3-1,"VALVE, SOLENOID SHUTOFF",HONEYWELL
320522-14,"VALVE, DIRECTIONAL PILOT SOLENOID",HONEYWELL
4005123-906,"INDICATOR, ALTIMETER BAROMETRIC",HONEYWELL
4019700-905,"INDICATOR, ATTITUDE DIRECTOR",HONEYWELL
4024130-902,"IND., RAM AIR TEMP./THRUST RATING",HONEYWELL
4026206-926,"CONTROLLER, INST. REMOTE",HONEYWELL
4026206-964,"CONTROLLER, INST. REMOTE",HONEYWELL
4030949-905,"PANEL, CONTROL",HONEYWELL
65-45757-16,"LIGHT, INST-CONT CAB.",HONEYWELL.
7000407-2,MOTOR,HONEYWELL
7001182-903,"INDICATOR, ATTITUDE DIRECTOR",HONEYWELL
7001182-906,"INDICATOR, ATTITUDE DIRECTOR",HONEYWELL
7002260-822,"SERVO, DRIVE ASSY",HONEYWELL
7002260-931,"SERVO, DRIVE ASSY",HONEYWELL
7002638-909,"INDICATOR, TAS/TEMP",HONEYWELL
7008471-103,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-113,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-142,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-406,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-407,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-416,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-442,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-667,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-687,"CONTROLLER, WEATHER RADAR",HONEYWELL
1153008-1,"PANEL, REMOTE",HONEYWELL
1216687-2,"SHAFT, FLEXIBLE",HONEYWELL
2863-2,"LATCH, ASSY",ADAMS RITE
2863B2,"LATCH, ASSY",ADAMS RITE
42066-9,"SWITCH, PRESSURE",HONEYWELL
4236-5,"STRIKE, ELECTRIC ASSY",ADAMS RITE
4236-7,"STRIKE, ELECTRIC ASSY",ADAMS RITE
60B40023-2,"INVERTER, STATIC",HONEYWELL
60B92018-3,"IND., FUEL QTY",GOODRICH
968087-2,METER,HONEYWELL
975-0003-001,"SWITCH, THERMAL",HONEYWELL
975-0145-004,"SWITCH, TEMPERATURE",HONEYWELL
EA102ANH-149H,"INDICATOR, HYDRAULIC OIL QUANTITY",GOODRICH
10-1005-237,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-244,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-91,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-96,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1070-1,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
10-1070-103,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
10-1070-118,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
10-1070-128,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
0154DB4,"SENSOR, PRESSURE/TOTAL TEMP.",GOODRICH
0154EW4-1,PROBE,GOODRICH
0154JU,"SENSOR, PRESSURE/TOTAL TEMP.",GOODRICH
020-016-032,"TRANSMITTER, FUEL QTY",PARKER
020-016-083,"TRANSMITTER, FUEL QTY",PARKER
020-070-006,"UNIT, FUEL QTY TANK",PARKER
020-240-015,"TANK, FUEL QTY UNIT",PARKER
30-1098-1,"LIGHT, STROBE ANTICOLLISION",HONEYWELL.
30-1133-1M1,"LIGHT, NAVIGATION WING ",HONEYWELL.
30-1133-2M1,"LIGHT, NAVIGATION WING ",HONEYWELL.
30-1401-3,"LIGHT, STROBE ANTICOLLISION",HONEYWELL
30-1404-2,"LIGHT, EMERGENCY EXIT",HONEYWELL.
30-1521-6,"LIGHT, REAR-POSITION NAV",HONEYWELL
30-1586-7,"LIGHT, STROBE ANTI-COLLISION",HONEYWELL.
30-1667-2,"LIGHT, NAV. FWD WING POSITION",HONEYWELL
30-1667-2,"LIGHT, NAV. FWD WING POSITION",HONEYWELL
30-1691-2,"LIGHT, WING ANTICOLLISION",HONEYWELL
30-1764-3,"LIGHT, AIRCRAFT NAV.",HONEYWELL.
30-1883-4,"FLOODLIGHT, WING/NACELLE INSPECTION",HONEYWELL
30-2041,"LIGHT, FORWARD DOOR SLIDE GROUND ILLUMINATION",HONEYWELL
30-2300-5,"LIGHT, INTEGRATED WINGTIP NAV",HONEYWELL
30-2529-6,"LIGHT, EMERGENCY OVERWING ESCAPE",HONEYWELL
30-2671-1,"FLOODLIGHT, ENGINE NACELLE",HONEYWELL
30-2671-2,"FLOODLIGHT, ENGINE NACELLE",HONEYWELL
30-2683-12,"LIGHT, WING POSITION NAV.",HONEYWELL.
3567402-3001,"TRANSMITTER, OIL/FUEL PRESSURE",HONEYWELL
45-0057-9,"LIGHT, RETRACTABLE LANDING",HONEYWELL.
45-0123-1,"LIGHT, RETRACTABLE LANDING",HONEYWELL
10-0015-17,"LIGHT, WHEEL WELL DOME",HONEYWELL
10-0055-11,"LIGHT, EMERGENCY",HONEYWELL
10-0114,"LIGHT, EMERGENCY EXIT",HONEYWELL.
10-0119-3,"LIGHT, EMERGENCY EXIT",HONEYWELL
10-0195-10,"LIGHT, LAVATORY MIRROR ASSY",HONEYWELL.
10-0340-39,"SIGN, INTERIOR ILLUMINATED PASSENGER",HONEYWELL
10-1004-6,"SIGN, INTERIOR ILLUM. PASSENGER INFO.",HONEYWELL.
10-1005-103,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-123,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-130,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-159,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-168,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-179,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
18-1738-6,"TRANSMITTER, FLAP POSITION ",HONEYWELL
18-1958-12,"TRANSMITTER, FLAP POSITION",HONEYWELL
30-2848-4,"LIGHT, INTEGRATED WINGT",HONEYWELL.
3000-46-18,"SWITCH, THERMOSTATIC",HONEYWELL
30136-0107,"TRANSMITTER, WATER QTY",GOODRICH
304313-2,"CONTROL, ELECTRONIC TEMPERATURE",HONEYWELL
3876024-8,"SWITCH, PRESSURE",HONEYWELL
3876027-4,THERMOCOUPLE,HONEYWELL
3876035-4,"SENSOR, PRESSURE",HONEYWELL
3876085-4,"TRANSDUCER, DIFF. PRESSURE",HONEYWELL
3876128-2,"SWITCH, OIL TEMP.",HONEYWELL
3876132-1,"LEAD, IGNITION ASSY",HONEYWELL
3876132-11,"LEAD, IGNITION ASSY",HONEYWELL
3876132-2,"LEAD, IGNITION ASSY",HONEYWELL
3876144-1,"SWITCH, OIL TEMP.",HONEYWELL
3876144-1,"SWITCH, OIL TEMP.",HONEYWELL
3876195-8,"EXCITER, IGNITION",HONEYWELL
3876218-1,"TRANSDUCER, TOTAL PRESSURE",HONEYWELL
3876243-1,"SENSOR, ASSY",HONEYWELL
3884971-1,"PROBE, TOTAL PRESSURE",HONEYWELL
643-24-301,"CLOCK, AIRCRAFT",WAKMANN WATCH
692546-1,"VALVE, SOLENOID",HONEYWELL
A8985-13,FLOODLIGHT,HONEYWELL
A8985-2,FLOODLIGHT,HONEYWELL
10-1005-247,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-265,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-94,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1038-1,"FLOODLIGHT, LAVATORY ACCENT",HONEYWELL
10-1070-112,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
10-1070-117,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
10-1071-116,"SIGN, INT. ILLUMINATED EXIT",HONEYWELL.
10-1072-112,"SIGN, INTERIOR ILL. EXIT",HONEYWELL
10-1073-1,"SIGN, INTERIOR ILL. EXIT",HONEYWELL
10-1073-102B,"SIGN, INTERIOR ILL. EXIT",HONEYWELL
10-10741-1L,"SIGN, INT. ILLUMINATED EXIT",HONEYWELL
3238734-1,"SWITCH, ASSY",HONEYWELL
4034233-903,"SENSOR, POSITION",HONEYWELL
4034242-903,"PANEL, FLIGHT GUIDANCE CONTROL",HONEYWELL
4034242-993,"PANEL, FLIGHT GUIDANCE CONTROL",HONEYWELL
4034559-901,"INDICATOR,  RDMI",HONEYWELL
0102LM2GE,"SENSOR, TOTAL TEMP.",GOODRICH
0154JG,"SENSOR, ENGINE INLET PRESS. TEMP.",GOODRICH
0154LF,"SENSOR, TEMP.",GOODRICH
019-012-001,"TRANSMITTER, HYDRAULIC QTY",PARKER
020-016-009,"TRANSMITTER, FUEL QTY",PARKER
020-016-117,"TRANSMITTER, FUEL QTY",PARKER
020-070-002,"UNIT, FUEL QTY TANK",PARKER
30-0909-107,"LIGHT, TAIL POSITION STROBE",HONEYWELL
30-1099-1M,"LIGHT, STROBE ANTICOLLISION",HONEYWELL.
30-1099-1M,"LIGHT, STROBE ANTICOLLISION",HONEYWELL.
30-1108-13,"LIGHT, STROBE ANTICOLLISION ",HONEYWELL.
30-1133-5,"LIGHT, NAVIGATION WING ",HONEYWELL.
30-1133-5M,"LIGHT, NAVIGATION WING ",HONEYWELL.
30-1401-13,"LIGHT, STROBE ANTICOLLISION ",HONEYWELL
30-1401-7,"LIGHT, STROBE ANTICOLLISION ",HONEYWELL
30-1404-1,"LIGHT, EMERGENCY EXIT",HONEYWELL.
30-1521-5,"LIGHT, REAR-POSITION NAV",HONEYWELL
30-1585-3,"LIGHT, STROBE ANTI-COLLISION",HONEYWELL.
30-1585-7,"LIGHT, STROBE ANTI-COLLISION",HONEYWELL.
30-1588-5,"LIGHT, NAVIGATIONAL",HONEYWELL.
30-1667-1,"LIGHT, NAV. FWD WING POSITION",HONEYWELL
30-1667-1,"LIGHT, NAV. FWD WING POSITION",HONEYWELL
30-1685-2,"LIGHT, STROBE",HONEYWELL.
30-1867-6,FLOODLIGHT,HONEYWELL
30-2303-17,"LIGHT, CARGO LOADING AIRCRAFT",HONEYWELL.
30-2557-1,"FLOODLIGHT, ENGINE INSP.",HONEYWELL
30-2557-2,"FLOODLIGHT, ENGINE INSP.",HONEYWELL
30-2671-5,"FLOODLIGHT, ENGINE NACELLE",HONEYWELL
30-2672-3,"FLOODLIGHT, WING INSPECTION",HONEYWELL
30-2683-5,"LIGHT, WING POSITION NAV.",HONEYWELL.
45-0057-11,"LIGHT, RETRACTABLE LANDING",HONEYWELL.
45-0068-3,"LIGHT, RETRACTABLE AIRCRAFT",HONEYWELL.
45-0083-1,"LIGHT, RETRACTABLE LANDING",HONEYWELL.
45-0263-2,"LIGHT, RETRACTABLE LANDING",HONEYWELL
45-0263-22,"LIGHT, RETRACTABLE LANDING",HONEYWELL
10-1005-224,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-224,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-259,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-266,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-269,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-276,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-34,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-42,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-51,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-98,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1007-17,"LIGHT, FLUORESCENT WINDOW",HONEYWELL
10-1070-113,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
10-1070-116,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
10-1071-109,"SIGN, INT. ILLUMINATED EXIT",HONEYWELL.
10-1071-112,"SIGN, INT. ILLUMINATED EXIT",HONEYWELL.
10-1072-1,"SIGN, INTERIOR ILL. EXIT",HONEYWELL
10-1072-116,"SIGN, INTERIOR ILL. EXIT",HONEYWELL
10-10741-51K,"SIGN, INT. ILLUMINATED EXIT",HONEYWELL
10-1178-1,"UNIT, PASSENGER SERVICE",HONEYWELL.
1HE49,SWITCH,HONEYWELL
2537-403,VALVE,ADAMS RITE
2585802-13,"PANEL, CONTROL",HONEYWELL
4034242-904,"PANEL, FLIGHT GUIDANCE CONTROL",HONEYWELL
4034242-924,"PANEL, FLIGHT GUIDANCE CONTROL",HONEYWELL
4039892-908,"ALTIMETER, BAROMETRIC",HONEYWELL
7014332-832,"CONTROLLER, BEZEL",HONEYWELL
7014332-915,"CONTROLLER, BEZEL",HONEYWELL
7014332-921,"CONTROLLER, BEZEL",HONEYWELL
7014332-932,"CONTROLLER, BEZEL",HONEYWELL
7016986-109,"CONTROLLER, DISPLAY",HONEYWELL
7016986-121,"CONTROLLER, DISPLAY",HONEYWELL
7016986-231,"CONTROLLER, DISPLAY",HONEYWELL
7016986-612,"CONTROLLER, DISPLAY",HONEYWELL
